--------- beginning of main
11-11 00:56:04.818  5321  5422 I Unity   : MetaXRAcousticNativeInterface:get_Interface()
11-11 00:56:04.818  5321  5422 I Unity   : MetaXRAcousticSettings:ApplyAllSettings()
11-11 00:56:04.818  5321  5422 I Unity   : 
11-11 00:56:04.819  5321  5422 I Unity   : Setting spatial voice limit: 64
11-11 00:56:04.819  5321  5422 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
11-11 00:56:04.819  5321  5422 I Unity   : MetaXRAudioSource:OnBeforeSceneLoadRuntimeMethod()
11-11 00:56:04.819  5321  5422 I Unity   : 
11-11 00:56:04.850  5321  5422 I Unity   : No Meta XR Audio Room found, setting default room
11-11 00:56:04.850  5321  5422 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
11-11 00:56:04.850  5321  5422 I Unity   : MetaXRAudioRoomAcousticProperties:CheckSceneHasRoom()
11-11 00:56:04.850  5321  5422 I Unity   : 
11-11 00:56:04.854  5321  5422 I Unity   : Meta XR Audio Native Interface initialized with Unity plugin
11-11 00:56:04.854  5321  5422 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
11-11 00:56:04.854  5321  5422 I Unity   : MetaXRAudioNativeInterface:FindInterface()
11-11 00:56:04.854  5321  5422 I Unity   : MetaXRAudioNativeInterface:get_Interface()
11-11 00:56:04.854  5321  5422 I Unity   : MetaXRAudioRoomAcousticProperties:Update()
11-11 00:56:04.854  5321  5422 I Unity   : MetaXRAudioRoomAcousticProperties:CheckSceneHasRoom()
11-11 00:56:04.854  5321  5422 I Unity   : 
11-11 00:56:04.862  5321  5422 I Unity   : Quit requested
11-11 00:56:04.863  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:04.863  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:04.877  5321  5422 I Unity   : Handle cmd APP_CMD_PAUSE(14)
11-11 00:56:04.914  5321  5422 I Unity   : Handle cmd APP_CMD_LOST_FOCUS(8)
11-11 00:56:05.397  5321  5422 I Unity   : Handle cmd APP_CMD_TERM_WINDOW(2)
11-11 00:56:05.554  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:05.556  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:05.556  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:05.561  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:05.561  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:05.567  5321  5422 I Unity   : Handle cmd APP_CMD_STOP(15)
11-11 00:56:05.568  5321  5422 I Unity   : Handle cmd APP_CMD_DESTROY(16)
11-11 00:56:05.568  5321  5422 I Unity   : UnityApplication::DestroyInstance
11-11 00:56:05.652  5321  5422 I Unity   : Quitting process
